山东移动,#genre#
CCTV-1FHD,http://39.135.108.196:8089/ucdn.sd.chinamobile.com/00/SNM/CHANNEL00000311/index.m3u8
CCTV-1FHD,http://120.221.2.235:8089/ucdn.sd.chinamobile.com/00/SNM/CHANNEL00000311/index.m3u8
CCTV-1FHD,http://223.99.186.132:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000311/index.m3u8?IASHttpSessionId=OTT1770220200129004003243349
CCTV-2FHD,http://223.99.186.132:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000317/index.m3u8?IASHttpSessionId=OTT1771120200129004003366369
CCTV-4FHD,http://223.99.186.132:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000320/index.m3u8?IASHttpSessionId=OTT1771020200129004003239585
CCTV-5+FHD,http://223.99.186.132:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000316/index.m3u8?IASHttpSessionId=OTT1771320200129004003244019
CCTV-7FHD,http://223.99.186.132:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000318/index.m3u8?IASHttpSessionId=OTT1767920200129004003248000
CCTV-9FHD,http://223.99.186.132:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000319/index.m3u8?IASHttpSessionId=OTT1774020200129004003222922
CCTV-10FHD,http://223.99.186.132:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000321/index.m3u8?IASHttpSessionId=OTT1772120200129004003241951
CCTV-12FHD,http://223.99.186.132:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000322/index.m3u8?IASHttpSessionId=OTT1774020200129004003222923
CCTV-14FHD,http://223.99.186.132:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000323/index.m3u8?IASHttpSessionId=OTT1770520200129004003237539
CCTV-17FHD,http://223.99.186.132:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000303/index.m3u8?IASHttpSessionId=OTT1768220200129004002248506
山东公共FHD,http://223.99.186.132:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000314/index.m3u8?IASHttpSessionId=OTT1768220200129004003248507
山东教育FHD,http://223.99.186.132:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000331/index.m3u8?IASHttpSessionId=OTT1771020200129004004239587
山东农科FHD,http://223.99.186.132:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000339/index.m3u8?IASHttpSessionId=OTT1772720200129004007242477
山东齐鲁FHD,http://223.99.186.132:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000313/index.m3u8?IASHttpSessionId=OTT1769620200129004003232989
山东少儿FHD,http://223.99.186.132:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000340/index.m3u8?IASHttpSessionId=OTT1773620200129004007237270
山东生活FHD,http://223.99.186.132:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000336/index.m3u8?IASHttpSessionId=OTT1768720200129004006239505
山东体育FHD,http://223.99.186.132:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000315/index.m3u8?IASHttpSessionId=OTT1771820200129004003232642
山东卫视FHD,http://223.99.186.132:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000301/index.m3u8?IASHttpSessionId=OTT1768520200129004002241212
山东影视FHD,http://223.99.186.132:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000337/index.m3u8?IASHttpSessionId=OTT1774120200129004007237196
